********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
elksmwq,P,10/28/2015 15:15,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.6,<0> ,,<-5> ,,<-1> ,,,1.62,<0> ,1.61,<3> ,8.0,<0> ,11,<0> ,
elksmwq,P,10/28/2015 15:30,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.7,<0> ,,<-5> ,,<-1> ,,,1.51,<0> ,1.50,<3> ,8.0,<0> ,12,<0> ,
elksmwq,P,10/28/2015 15:45,0,0,,19.1,<0> ,,<-5> ,32.7,<0> ,8.6,<0> ,,<-5> ,,<-1> ,,,1.39,<0> ,1.38,<3> ,8.0,<0> ,9,<0> ,
elksmwq,P,10/28/2015 16:00,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.5,<0> ,,<-5> ,,<-1> ,,,1.26,<0> ,1.25,<3> ,8.0,<0> ,11,<0> ,
elksmwq,P,10/28/2015 16:15,0,0,,19.1,<0> ,,<-5> ,32.7,<0> ,8.4,<0> ,,<-5> ,,<-1> ,,,1.10,<0> ,1.09,<3> ,8.0,<0> ,22,<0> ,
elksmwq,P,10/28/2015 16:30,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.4,<0> ,,<-5> ,,<-1> ,,,0.92,<0> ,0.91,<3> ,8.0,<0> ,24,<0> ,
elksmwq,P,10/28/2015 16:45,0,0,,19.1,<0> ,,<-5> ,32.8,<0> ,8.3,<0> ,,<-5> ,,<-1> ,,,0.77,<0> ,0.76,<3> ,8.0,<0> ,22,<0> ,
elksmwq,P,10/28/2015 17:00,0,0,,19.2,<0> ,,<-5> ,32.6,<0> ,8.1,<0> ,,<-5> ,,<-1> ,,,0.67,<0> ,0.66,<3> ,8.0,<0> ,168,<0> ,
elksmwq,P,10/28/2015 17:15,0,0,,19.2,<0> ,,<-5> ,32.8,<0> ,7.9,<0> ,,<-5> ,,<-1> ,,,0.64,<0> ,0.63,<3> ,8.0,<0> ,35,<0> ,
elksmwq,P,10/28/2015 17:30,0,0,,19.2,<0> ,,<-5> ,32.8,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,0.68,<0> ,0.67,<3> ,7.9,<0> ,22,<0> ,
